trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,sma_20,sma_60,kdj_k,kdj_d,kdj_j
2023-07-04,86.76,88.93,86.1,87.76,,0,0,157120.0,4271280000.0,,,,,,,,,,,,
2023-07-05,87.77,88.09,85.83,86.26,87.76,-1.5,-1.7092,93033.0,2493340000.0,,,,,,,,,,,,
2023-07-06,86.26,87.93,86.2,86.63,86.26,0.37,0.4289,83712.0,2249760000.0,,,,,,,,,,,,
2023-07-07,86.26,86.48,85.3,85.4,86.63,-1.23,-1.4198,62192.0,1650350000.0,,,,,,,,,,,,
2023-07-10,86.26,87.1,84.85,85.11,85.4,-0.29,-0.3396,68878.0,1824430000.0,,,,,,,,,,,,
2023-07-11,85.6,87.49,85.2,87.04,85.11,1.93,2.2677,102405.0,2744330000.0,,,,,,,,,,,,
2023-07-12,87.43,87.65,85.48,85.8,87.04,-1.24,-1.4246,87032.0,2328020000.0,,,,,,,,,,,,
2023-07-13,86.43,87.1,85.6,86.54,85.8,0.74,0.8625,82753.0,2213410000.0,,,,,,,,,,,,
2023-07-14,86.53,86.53,85.1,85.4,86.54,-1.14,-1.3173,102722.0,2718640000.0,,,,,,,,,,37.8268,45.9423,21.5959
2023-07-17,86.26,86.26,84.71,85.43,85.4,0.03,0.0351,78927.0,2086660000.0,,,,,,,,,,32.3185,41.401,14.1534
2023-07-18,85.68,86.45,84.1,85.76,85.43,0.33,0.3863,98456.0,2603930000.0,,,,,,,,,,35.993,39.5983,28.7823
2023-07-19,85.76,85.9,84.84,85.54,85.76,-0.22,-0.2565,50250.0,1328130000.0,,,,,,,,,,37.5164,38.9044,34.7406
2023-07-20,85.76,87.1,85.26,85.58,85.54,0.04,0.0468,91271.0,2434020000.0,,,,,,,,,,38.9077,38.9055,38.9121
2023-07-21,85.26,85.53,84.45,85.37,85.58,-0.21,-0.2454,75287.0,1979320000.0,,,,,,,,,,37.8633,38.5581,36.4738
2023-07-24,84.27,84.85,83.09,83.1,85.37,-2.27,-2.659,95950.0,2491710000.0,29.8094,,,,,,,,,25.3153,34.1438,7.6583
2023-07-25,84.82,86.26,84.81,85.46,83.1,2.36,2.84,173883.0,4604660000.0,24.5985,,,,,,,,,36.5776,34.9551,39.8227
2023-07-26,85.18,85.18,84.13,84.63,85.46,-0.83,-0.9712,65865.0,1723360000.0,36.9404,,,,,,,,,37.1864,35.6989,40.1615
2023-07-27,85.43,85.85,84.2,84.47,84.63,-0.16,-0.1891,112651.0,2962230000.0,34.784,,,,,,,,,36.2623,35.8867,37.0135
2023-07-28,84.31,86.86,83.72,86.64,84.47,2.17,2.569,173308.0,4584230000.0,34.3675,,,,,,,,,53.6844,41.8192,77.4147
2023-07-31,87.64,89.84,87.6,88.31,86.64,1.67,1.9275,215060.0,5874720000.0,44.137,,,,88.0747,85.8115,83.5483,85.8115,,61.5674,48.402,87.8982
2023-08-01,88.23,88.56,86.48,87.14,88.31,-1.17,-1.3249,120340.0,3239070000.0,50.2718,,,,87.9511,85.7805,83.6099,85.7805,,61.0449,52.6163,77.9022
2023-08-02,87.88,88.31,86.43,86.98,87.14,-0.16,-0.1836,87394.0,2346830000.0,46.4251,,,,88.041,85.8165,83.592,85.8165,,59.9065,55.0463,69.6268
2023-08-03,86.74,87.14,86.15,87.05,86.98,0.07,0.0805,66170.0,1766950000.0,45.9078,,,,88.0999,85.8375,83.5751,85.8375,,59.4932,56.5286,65.4224
2023-08-04,87.31,87.67,86.53,87.08,87.05,0.03,0.0345,88053.0,2358260000.0,46.1903,,,,88.2368,85.9215,83.6062,85.9215,,57.9628,57.0067,59.875
2023-08-07,86.95,86.95,86.04,86.64,87.08,-0.44,-0.5053,64204.0,1710320000.0,46.3197,,,,88.3021,85.998,83.6939,85.998,,54.546,56.1865,51.2651
2023-08-08,86.04,86.48,85.15,85.41,86.64,-1.23,-1.4197,91712.0,2419520000.0,44.6248,0.292947,0.058589,0.234358,88.1824,85.9165,83.6506,85.9165,,45.5688,52.6472,31.4119
2023-08-09,84.98,85.48,84.39,85.28,85.41,-0.13,-0.1522,72499.0,1897120000.0,40.1967,0.188816,0.084635,0.104181,88.173,85.8905,83.608,85.8905,,38.8759,48.0568,20.5142
2023-08-10,85.31,85.93,84.56,85.21,85.28,-0.07,-0.0821,60016.0,1575800000.0,39.7478,0.099496,0.087607,0.011889,88.1044,85.824,83.5436,85.824,,30.9326,42.3487,8.1003
2023-08-11,85.21,85.21,83.98,84.06,85.21,-1.15,-1.3496,86125.0,2242260000.0,39.492,-0.063355,0.057415,-0.12077,88.1588,85.757,83.3552,85.757,,21.204,35.3005,-6.9891
2023-08-14,82.64,83.31,78.81,79.58,84.06,-4.48,-5.3295,252890.0,6237440000.0,35.4557,-0.547602,-0.063589,-0.484013,89.0751,85.4645,81.8539,85.4645,,16.8377,29.1462,-7.7793
2023-08-15,79.58,79.69,78.28,79.16,79.58,-0.42,-0.5278,115021.0,2804380000.0,24.8151,-0.954262,-0.241723,-0.712539,89.6658,85.1345,80.6032,85.1345,,14.349,24.2138,-5.3805
2023-08-16,78.74,79.48,78.38,79.04,79.16,-0.12,-0.1516,79979.0,1953460000.0,24.0854,-1.271568,-0.447692,-0.823876,90.0541,84.8095,79.5649,84.8095,,12.2639,20.2305,-3.6693
2023-08-17,78.77,79.76,77.78,79.65,79.04,0.61,0.7718,86836.0,2118630000.0,23.8694,-1.457018,-0.649557,-0.807461,90.2015,84.513,78.8245,84.513,,14.9735,18.4782,7.9641
2023-08-18,79.5,79.5,77.64,77.74,79.65,-1.91,-2.398,98467.0,2385480000.0,27.4319,-1.738074,-0.867261,-0.870813,90.5194,84.1315,77.7436,84.1315,,10.3594,15.7719,-0.4657
2023-08-21,77.58,77.6,75.66,75.78,77.74,-1.96,-2.5212,127879.0,3022540000.0,23.6933,-2.09482,-1.112773,-0.982047,91.1144,83.7655,76.4166,83.7655,,7.2957,12.9465,-4.0058
2023-08-22,76.97,77.14,74.61,75.82,75.78,0.04,0.0528,112116.0,2620970000.0,20.5919,-2.347259,-1.35967,-0.987589,91.3537,83.2835,75.2133,83.2835,,8.4268,11.44,2.4006
2023-08-23,75.82,75.82,74.32,74.34,75.82,-1.48,-1.952,81238.0,1882330000.0,20.8197,-2.636352,-1.615006,-1.021346,91.6967,82.769,73.8413,82.769,,5.6791,9.5197,-2.002
2023-08-24,74.65,76.64,74.65,75.94,74.34,1.6,2.1523,106811.0,2501730000.0,18.6841,-2.70517,-1.833039,-0.872131,91.7087,82.3425,72.9763,82.3425,,9.7928,9.6107,10.1568
2023-08-25,75.4,75.75,74.81,75.18,75.94,-0.76,-1.0008,66775.0,1554440000.0,27.3592,-2.788886,-2.024208,-0.764678,91.412,81.7695,72.127,81.7695,,11.7981,10.3398,14.7146
2023-08-28,80.31,80.31,75.73,76.15,75.18,0.97,1.2902,133527.0,3189520000.0,25.9434,-2.745315,-2.16843,-0.576885,90.6092,81.1615,71.7138,81.1615,,18.049,12.9096,28.328
2023-08-29,76.58,80.14,76.58,79.88,76.15,3.73,4.8982,213223.0,5201530000.0,30.8612,-2.382342,-2.211212,-0.17113,89.8491,80.7985,71.7479,80.7985,,42.9732,22.9308,83.0579
