trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,sma_20,sma_60,kdj_k,kdj_d,kdj_j
2023-07-04,84.341,85.608,83.208,85.275,,0,0,3927277.0,1035085190.73,,,,,,,,,,,,
2023-07-05,85.475,86.008,83.475,84.408,85.275,-0.867,-1.0167,4509185.0,1180545801.9,,,,,,,,,,,,
2023-07-06,84.408,86.008,83.875,84.475,84.408,0.067,0.0794,6811367.0,1791652234.158,,,,,,,,,,,,
2023-07-07,84.208,84.208,81.675,81.875,84.475,-2.6,-3.0778,5605213.0,1434958181.4,,,,,,,,,,,,
2023-07-10,83.541,83.875,81.341,82.608,81.875,0.733,0.8953,6686630.0,1711984985.6,,,,,,,,,,,,
2023-07-11,83.208,85.341,83.008,85.008,82.608,2.4,2.9053,5526401.0,1449509809.22,,,,,,,,,,,,
2023-07-12,85.875,86.275,83.741,84.075,85.008,-0.933,-1.0975,5086582.0,1341235196.3,,,,,,,,,,,,
2023-07-13,85.208,85.475,83.141,85.008,84.075,0.933,1.1097,4964442.0,1302515827.7,,,,,,,,,,,,
2023-07-14,84.941,85.208,83.475,84.541,85.008,-0.467,-0.5494,3984357.0,1042500578.1,,,,,,,,,,54.952,51.6507,61.5547
2023-07-18,85.208,86.541,83.408,85.341,84.541,0.8,0.9463,7140463.0,1886197134.8,,,,,,,,,,62.2757,55.1924,76.4424
2023-07-19,85.675,85.741,84.075,85.408,85.341,0.067,0.0785,5563495.0,1469327231.9,,,,,,,,,,67.5877,59.3241,84.1147
2023-07-20,86.141,86.808,85.341,85.941,85.408,0.533,0.6241,8071924.0,2156641924.9,,,,,,,,,,73.1055,63.9179,91.4807
2023-07-21,86.275,86.275,84.475,86.008,85.941,0.067,0.078,7040946.0,1872541736.5,,,,,,,,,,77.1926,68.3428,94.8921
2023-07-24,86.008,86.008,83.141,83.808,86.008,-2.2,-2.5579,5160079.0,1352502814.4,,,,,,,,,,58.4793,65.055,45.3279
2023-07-25,85.675,86.808,85.075,85.741,83.808,1.933,2.3065,9002121.0,2402846213.076,51.5959,,,,,,,,,62.6204,64.2434,59.3743
2023-07-26,85.475,85.741,84.341,85.608,85.741,-0.133,-0.1551,4481124.0,1184915329.4,57.6362,,,,,,,,,64.1722,64.2197,64.0771
2023-07-27,87.008,87.008,85.541,85.808,85.608,0.2,0.2336,9063786.0,2427267746.74,57.1081,,,,,,,,,65.7708,64.7367,67.8391
2023-07-28,85.675,87.675,84.808,87.408,85.808,1.6,1.8646,9602569.0,2584353368.3,57.7352,,,,,,,,,75.2176,68.2304,89.1921
2023-07-31,88.741,90.141,88.408,88.875,87.408,1.467,1.6783,10106450.0,2796973990.3,62.4633,,,,,,,,,77.4498,71.3035,89.7425
2023-08-01,89.208,90.541,88.275,88.608,88.875,-0.267,-0.3004,5990075.0,1656705302.7,66.1971,,,,88.5949,85.2913,81.9878,85.2913,,76.2594,72.9555,82.8671
2023-08-02,88.075,90.208,86.408,86.675,88.608,-1.933,-2.1815,6548164.0,1781559076.72,64.9311,,,,88.7194,85.3614,82.0033,85.3614,,66.7585,70.8898,58.4959
2023-08-03,87.675,88.275,86.341,86.941,86.675,0.266,0.3069,4670988.0,1263546464.6,56.506,,,,88.8835,85.488,82.0925,85.488,,61.6228,67.8008,49.2667
2023-08-04,87.275,87.875,86.141,86.408,86.941,-0.533,-0.6131,4003923.0,1077147804.6,57.3266,,,,88.9694,85.5846,82.1999,85.5846,,52.1948,62.5988,31.3867
2023-08-07,86.541,87.475,85.741,87.075,86.408,0.667,0.7719,5229263.0,1407434969.6,55.084,,,,88.8242,85.8447,82.8651,85.8447,,49.4954,58.231,32.0243
2023-08-08,85.675,86.408,83.141,83.541,87.075,-3.534,-4.0586,7712784.0,2016980987.5,57.3334,,,,88.6905,85.8913,83.0921,85.8913,,34.7988,50.4202,3.5558
2023-08-09,82.675,83.341,81.008,83.341,83.541,-0.2,-0.2394,6899338.0,1766235075.45,44.5915,0.296314,0.059263,0.237051,88.8,85.808,82.8159,85.808,,31.3568,44.0658,5.9389
2023-08-10,82.675,83.941,82.541,83.475,83.341,0.134,0.1608,2926309.0,756258089.15,43.9956,0.098982,0.067207,0.031775,88.8499,85.778,82.706,85.778,,29.5307,39.2207,10.1506
2023-08-11,83.275,83.341,81.541,81.808,83.475,-1.667,-1.997,5295889.0,1351755480.3,44.5305,-0.18973,0.015819,-0.205549,89.1347,85.6179,82.1012,85.6179,,22.4844,33.642,0.1694
2023-08-14,80.275,80.475,74.408,76.541,81.808,-5.267,-6.4382,18900002.0,4479814749.2,39.4791,-0.833927,-0.15413,-0.679797,90.507,85.218,79.9289,85.218,,19.4896,28.9245,0.6198
2023-08-15,75.341,75.808,73.475,75.475,76.541,-1.066,-1.3927,8781549.0,2050564712.49,28.4847,-1.414173,-0.406139,-1.008034,91.5057,84.7246,77.9436,84.7246,,17.4976,25.1155,2.2617
2023-08-16,74.141,74.475,73.341,73.808,75.475,-1.667,-2.2087,8964982.0,2063604220.1,26.8546,-1.985646,-0.72204,-1.263606,92.4138,84.1446,75.8755,84.1446,,12.7361,20.9891,-3.7698
2023-08-17,72.741,75.875,71.141,75.008,73.808,1.2,1.6258,9747126.0,2250396948.9,24.4941,-2.315026,-1.040637,-1.274389,92.7212,83.598,74.4748,83.598,,16.3823,19.4535,10.2398
2023-08-18,74.008,74.808,71.875,72.075,75.008,-2.933,-3.9102,9091096.0,2067777730.38,29.3111,-2.780677,-1.388645,-1.392032,93.2303,82.9014,72.5724,82.9014,,12.9608,17.2892,4.3038
2023-08-21,71.341,71.541,69.408,69.875,72.075,-2.2,-3.0524,9384447.0,2060907481.65,25.0967,-3.289313,-1.768779,-1.520534,93.9741,82.2047,70.4353,82.2047,,9.7116,14.7634,-0.3918
2023-08-22,70.408,71.141,68.541,70.608,69.875,0.733,1.049,8536582.0,1870511021.6,22.4852,-3.59186,-2.133395,-1.458465,94.1218,81.448,68.7743,81.448,,10.9484,13.4917,5.8619
2023-08-23,70.608,71.075,69.141,70.408,70.608,-0.2,-0.2833,6202754.0,1362071129.8,25.2752,-3.803919,-2.4675,-1.336419,94.0757,80.6881,67.3004,80.6881,,11.5039,12.8291,8.8535
2023-08-24,70.608,73.275,70.608,72.275,70.408,1.867,2.6517,6887058.0,1549598416.6,25.0107,-3.777778,-2.729555,-1.048223,93.6609,80.0114,66.3619,80.0114,,18.0989,14.5857,25.1252
2023-08-25,72.275,72.275,71.141,71.541,72.275,-0.734,-1.0156,4789523.0,1073078521.6,32.1493,-3.772798,-2.938204,-0.834594,92.9002,79.2181,65.5359,79.2181,,25.701,18.2908,40.5215
2023-08-28,74.608,75.675,71.675,72.075,71.541,0.534,0.7464,7540685.0,1721047554.629,30.9038,-3.683304,-3.087224,-0.59608,91.6419,78.3781,65.1142,78.3781,,33.1962,23.2593,53.07
2023-08-29,73.275,77.008,73.008,76.275,72.075,4.2,5.8273,13031287.0,3077430031.92,32.9394,-3.236169,-3.117013,-0.119156,90.1857,77.7614,65.3371,77.7614,,52.5784,33.0323,91.6706
2023-08-30,78.475,79.875,78.008,78.608,76.275,2.333,3.0587,13776851.0,3392668228.6,46.3314,-2.662863,-3.026183,0.36332,89.104,77.3581,65.6121,77.3581,,64.6594,43.5747,106.8287
2023-08-31,79.941,80.408,78.475,78.941,78.608,0.333,0.4236,11622913.0,2868987722.853,52.0586,-2.15678,-2.852302,0.695522,87.8879,76.9581,66.0282,76.9581,,72.3189,53.1561,110.6445
2023-09-04,80.675,81.875,79.608,81.475,78.941,2.534,3.21,10803058.0,2724785291.686,52.8323,-1.533556,-2.588553,1.054997,86.9797,76.7114,66.4431,76.7114,,80.546,62.286,117.0659
2023-09-05,81.475,81.475,79.075,79.541,81.475,-1.934,-2.3737,5743579.0,1424664040.3,58.3418,-1.182078,-2.307258,1.12518,85.5537,76.3347,67.1157,76.3347,,80.921,68.4977,105.7677
2023-09-06,80.341,80.808,79.675,80.075,79.541,0.534,0.6714,4467113.0,1115716520.2,53.2312,-0.850634,-2.015933,1.165299,84.9524,76.1614,67.3704,76.1614,,81.9554,72.9836,99.899
2023-09-07,80.008,80.141,79.341,79.408,80.075,-0.667,-0.833,3266827.0,810349289.2,54.4185,-0.63447,-1.739641,1.105171,84.2669,75.9648,67.6626,75.9648,,80.3093,75.4255,90.0768
2023-09-11,77.941,80.275,76.808,79.608,79.408,0.2,0.2519,6144832.0,1502862884.625,52.6216,-0.441926,-1.480098,1.038172,83.5271,75.7714,68.0157,75.7714,,79.4643,76.7718,84.8495
2023-09-12,80.341,82.875,79.408,81.941,79.608,2.333,2.9306,9590134.0,2435883582.51,53.1215,-0.099927,-1.204064,1.104137,83.5546,75.778,68.0015,75.778,,83.1543,78.8993,91.6642
2023-09-13,83.008,83.008,79.141,79.608,81.941,-2.333,-2.8472,7899959.0,1983057689.3,58.6074,-0.01695,-0.966641,0.949691,83.8811,75.9314,67.9817,75.9314,,70.4899,76.0962,59.2775
2023-09-14,79.075,79.608,76.475,78.608,79.608,-1.0,-1.2562,8217191.0,2005425133.3,52.048,-0.031517,-0.779616,0.748099,84.1187,76.088,68.0574,76.088,,57.8765,70.0229,33.5836
2023-09-15,78.008,80.275,77.541,79.475,78.608,0.867,1.1029,6866133.0,1695635695.252,49.4911,0.026591,-0.618375,0.644966,84.46,76.3714,68.2828,76.3714,,53.8912,64.6457,32.3823
2023-09-18,79.675,81.475,79.141,79.341,79.475,-0.134,-0.1686,4972384.0,1239464599.6,51.7062,0.061124,-0.482475,0.543599,84.7507,76.588,68.4254,76.588,,50.5507,59.9474,31.7573
2023-09-19,79.075,79.341,78.008,79.208,79.341,-0.133,-0.1676,3089650.0,756869146.7,51.3315,0.076875,-0.370605,0.44748,84.9083,76.9447,68.9811,76.9447,,47.645,55.8466,31.242
2023-09-20,78.608,79.141,78.075,78.475,79.208,-0.733,-0.9254,3021926.0,739765889.6,50.937,0.029865,-0.290511,0.320376,84.6652,77.3747,70.0842,77.3747,,41.968,51.2204,23.4631
2023-09-21,77.875,78.341,76.141,77.141,78.475,-1.334,-1.6999,5955312.0,1429340826.5,48.7146,-0.113721,-0.255153,0.141432,84.3028,77.7014,71.0999,77.7014,,32.8328,45.0912,8.316
2023-09-22,76.475,79.941,76.408,79.741,77.141,2.6,3.3705,5877679.0,1441827750.95,44.877,-0.017515,-0.207625,0.19011,83.9039,78.168,72.4321,78.168,,39.3634,43.1819,31.7264
2023-09-25,81.341,81.341,79.608,79.608,79.741,-0.133,-0.1668,5378704.0,1341926125.3,52.6982,0.047451,-0.15661,0.204061,83.6172,78.5346,73.4521,78.5346,,43.0715,43.1451,42.9244
2023-09-26,79.608,79.675,75.875,76.741,79.608,-2.867,-3.6014,9497333.0,2274982445.57,52.2895,-0.130898,-0.151468,0.02057,82.8472,78.7947,74.7421,78.7947,,33.8691,40.0531,21.5011
2023-09-27,77.341,77.608,75.808,76.141,76.741,-0.6,-0.7819,5321547.0,1268493589.88,44.3114,-0.317001,-0.184574,-0.132427,81.9366,78.998,76.0593,78.998,,24.5381,34.8815,3.8515
2023-09-28,76.341,76.741,75.075,75.341,76.141,-0.8,-1.0507,4271746.0,1007113823.25,42.8384,-0.523014,-0.252262,-0.270752,82.0847,78.9513,75.8178,78.9513,80.668,17.7442,29.169,-5.1056
2023-09-29,75.541,78.341,75.541,77.675,75.341,2.334,3.0979,3901812.0,938497235.6,40.8866,-0.492271,-0.300264,-0.192007,82.0846,78.9046,75.7246,78.9046,80.5413,25.6607,27.9996,20.9829
2023-10-03,77.141,77.141,74.741,76.541,77.675,-1.134,-1.4599,5315529.0,1258872679.9,48.2888,-0.553037,-0.350819,-0.202218,82.127,78.7846,75.4422,78.7846,80.4102,26.198,27.3991,23.796
2023-10-04,75.675,75.675,73.408,74.008,76.541,-2.533,-3.3093,6170264.0,1429520725.9,45.3195,-0.796405,-0.439936,-0.356469,82.1166,78.4112,74.7059,78.4112,80.2358,19.9865,24.9282,10.103
2023-10-05,74.341,75.275,74.075,74.408,74.008,0.4,0.5405,3506006.0,817413392.2,39.4798,-0.946094,-0.541168,-0.404926,82.2063,78.1546,74.1029,78.1546,80.1113,17.5262,22.4609,7.6568
2023-10-06,74.541,75.541,74.541,74.941,74.408,0.533,0.7163,2639420.0,618023795.0,40.7776,-1.010071,-0.634948,-0.375123,82.0788,77.8979,73.717,77.8979,79.9835,18.1256,21.0158,12.3452
2023-10-09,74.941,76.941,74.941,75.341,74.941,0.4,0.5338,4045050.0,955994867.68,42.5456,-1.016777,-0.711314,-0.305463,81.9567,77.6946,73.4324,77.6946,79.8224,22.3651,21.4655,24.1642
2023-10-10,75.741,77.075,75.475,75.875,75.341,0.534,0.7088,5640191.0,1336721539.523,43.8991,-0.967844,-0.76262,-0.205224,81.7455,77.5079,73.2703,77.5079,79.6858,31.5801,24.8371,45.0662
2023-10-11,78.275,78.675,77.208,77.408,75.875,1.533,2.0204,7983958.0,1938044261.2,45.737,-0.796187,-0.769333,-0.026854,80.9992,77.2812,73.5633,77.2812,79.5591,46.3683,32.0141,75.0765
