trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,sma_20,sma_60,kdj_k,kdj_d,kdj_j
2023-07-04,19.33,19.43,19.2,19.26,,0,0,345040.0,760650000.0,,,,,,,,,,,,
2023-07-05,19.29,19.44,19.23,19.28,19.26,0.02,0.1038,306868.0,678070000.0,,,,,,,,,,,,
2023-07-06,19.28,19.37,19.15,19.21,19.28,-0.07,-0.3631,348556.0,767720000.0,,,,,,,,,,,,
2023-07-07,19.17,19.29,19.15,19.21,19.21,0.0,0.0,506868.0,1115160000.0,,,,,,,,,,,,
2023-07-10,19.26,19.33,19.16,19.21,19.21,0.0,0.0,336732.0,740930000.0,,,,,,,,,,,,
2023-07-11,19.26,19.26,19.07,19.21,19.21,0.0,0.0,485493.0,1066320000.0,,,,,,,,,,,,
2023-07-12,19.16,19.39,19.1,19.35,19.21,0.14,0.7288,505246.0,1115290000.0,,,,,,,,,,,,
2023-07-13,19.35,19.76,19.29,19.63,19.35,0.28,1.447,647382.0,1449380000.0,,,,,,,,,,,,
2023-07-14,19.59,19.76,19.52,19.68,19.63,0.05,0.2547,387170.0,869180000.0,,,,,,,,,,62.8019,54.2673,79.8712
2023-07-17,19.69,19.75,19.53,19.65,19.68,-0.03,-0.1524,196929.0,441210000.0,,,,,,,,,,69.8873,59.474,90.7139
2023-07-18,19.68,19.74,19.59,19.62,19.65,-0.03,-0.1527,268521.0,602590000.0,,,,,,,,,,73.1616,64.0365,91.4117
2023-07-19,19.53,19.73,19.53,19.71,19.62,0.09,0.4587,330672.0,743230000.0,,,,,,,,,,79.6923,69.2551,100.5666
2023-07-20,19.79,19.82,19.61,19.61,19.71,-0.1,-0.5074,434410.0,978370000.0,,,,,,,,,,77.1282,71.8794,87.6256
2023-07-21,19.63,19.88,19.59,19.63,19.61,0.02,0.102,550371.0,1192720000.0,,,,,,,,,,74.464,72.741,77.9102
2023-07-24,19.53,19.71,19.5,19.59,19.63,-0.04,-0.2038,276959.0,596740000.0,68.9655,,,,,,,,,70.5829,72.0216,67.7054
2023-07-25,19.67,19.67,19.28,19.36,19.59,-0.23,-1.1741,764038.0,1631580000.0,65.7119,,,,,,,,,51.4997,65.181,24.1371
2023-07-26,19.36,19.43,19.25,19.42,19.36,0.06,0.3099,482596.0,1028990000.0,50.8551,,,,,,,,,43.3278,57.8966,14.1903
2023-07-27,19.4,19.52,19.23,19.26,19.42,-0.16,-0.8239,413652.0,882210000.0,53.7902,,,,,,,,,30.4237,48.739,-6.2069
2023-07-28,19.25,19.42,19.17,19.37,19.26,0.11,0.5711,589361.0,1253800000.0,45.9151,,,,,,,,,29.6721,42.3833,4.2497
2023-07-31,19.36,19.68,19.36,19.49,19.37,0.12,0.6195,668330.0,1436470000.0,51.2043,,,,19.7994,19.4375,19.0756,19.4375,,34.8049,39.8572,24.7003
2023-08-01,19.53,19.75,19.48,19.75,19.49,0.26,1.334,489135.0,1055450000.0,56.2328,,,,19.8385,19.462,19.0855,19.462,,50.4333,43.3826,64.5348
2023-08-02,19.73,19.75,19.55,19.62,19.75,-0.13,-0.6582,322539.0,696650000.0,64.7168,,,,19.8518,19.479,19.1062,19.479,,54.749,47.1714,69.9042
2023-08-03,19.67,19.73,19.57,19.69,19.62,0.07,0.3568,341634.0,739360000.0,58.6003,,,,19.8651,19.503,19.1409,19.503,,66.3844,53.5757,92.0017
2023-08-04,19.69,19.85,19.51,19.57,19.69,-0.12,-0.6094,403813.0,871900000.0,60.7513,,,,19.858,19.521,19.184,19.521,,63.8641,57.0052,77.5819
2023-08-07,19.58,19.98,19.55,19.95,19.57,0.38,1.9417,553821.0,1208240000.0,55.4339,,,,19.9123,19.558,19.2037,19.558,,74.6748,62.8951,98.2344
2023-08-08,19.87,20.14,19.87,20.13,19.95,0.18,0.9023,388447.0,855560000.0,65.6785,0.16506,0.033012,0.132048,20.0019,19.604,19.2061,19.604,,82.7729,69.521,109.2767
2023-08-09,20.12,20.19,19.84,20.14,20.13,0.01,0.0497,415777.0,915610000.0,69.2808,0.189309,0.064271,0.125038,20.0869,19.6435,19.2001,19.6435,,86.8813,75.3078,110.0283
2023-08-10,20.14,20.19,20.0,20.12,20.14,-0.02,-0.0993,230600.0,509010000.0,69.4725,0.204555,0.092328,0.112227,20.1575,19.668,19.1785,19.668,,88.4429,79.6862,105.9565
2023-08-11,20.11,20.14,19.78,19.78,20.12,-0.34,-1.6899,320195.0,701000000.0,68.5511,0.187046,0.111272,0.075774,20.1649,19.673,19.1811,19.673,,73.0465,77.4729,64.1936
2023-08-14,19.73,19.98,19.58,19.84,19.78,0.06,0.3033,550766.0,1197470000.0,55.1585,0.175982,0.124214,0.051768,20.1796,19.6825,19.1854,19.6825,,64.8741,73.2733,48.0757
2023-08-15,19.83,20.11,19.79,20.05,19.84,0.21,1.0585,456951.0,1005040000.0,56.7638,0.182061,0.135783,0.046278,20.225,19.704,19.183,19.704,,69.72,72.0889,64.9822
