trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,sma_20,sma_60,kdj_k,kdj_d,kdj_j
2023-07-04,51.0,52.0,50.63,51.41,,0,0,29585461.0,1519450000.0,,,,,,,,,,,,
2023-07-05,51.25,51.4,50.71,50.98,51.41,-0.43,-0.8364,17445749.0,889900000.0,,,,,,,,,,,,
2023-07-06,50.89,51.05,49.89,50.0,50.98,-0.98,-1.9223,23210269.0,1168690000.0,,,,,,,,,,,,
2023-07-07,49.81,50.18,49.06,49.38,50.0,-0.62,-1.24,28336113.0,1405030000.0,,,,,,,,,,,,
2023-07-10,49.41,49.88,49.38,49.72,49.38,0.34,0.6885,11969183.0,594210000.0,,,,,,,,,,,,
2023-07-11,49.72,50.42,49.5,50.3,49.72,0.58,1.1665,19669601.0,983660000.0,,,,,,,,,,,,
2023-07-12,50.32,50.45,48.22,48.38,50.3,-1.92,-3.8171,38371993.0,1881910000.0,,,,,,,,,,,,
2023-07-13,48.6,49.37,48.6,49.2,48.38,0.82,1.6949,25077299.0,1229560000.0,,,,,,,,,,,,
2023-07-14,49.2,50.13,49.16,49.46,49.2,0.26,0.5285,18322747.0,909160000.0,,,,,,,,,,44.2681,48.0894,36.6255
2023-07-17,49.16,49.46,48.6,48.77,49.46,-0.69,-1.3951,16507870.0,806860000.0,,,,,,,,,,35.2773,43.8187,18.1944
2023-07-18,49.0,50.75,49.0,49.7,48.77,0.93,1.9069,27880112.0,1394190000.0,,,,,,,,,,40.9504,42.8626,37.1262
2023-07-19,49.5,49.58,48.88,49.15,49.7,-0.55,-1.1066,16050293.0,788840000.0,,,,,,,,,,39.5533,41.7595,35.1408
2023-07-20,49.33,49.55,49.02,49.29,49.15,0.14,0.2848,13065589.0,644080000.0,,,,,,,,,,40.4663,41.3284,38.7421
2023-07-21,49.01,49.24,48.88,49.0,49.29,-0.29,-0.5884,12584518.0,617120000.0,,,,,,,,,,37.2542,39.9704,31.822
2023-07-24,48.88,49.51,48.84,49.0,49.0,0.0,0.0,11374978.0,559330000.0,35.9064,,,,,,,,,35.1128,38.3512,28.6361
2023-07-25,49.66,49.8,49.23,49.77,49.0,0.77,1.5714,17966883.0,890950000.0,35.9064,,,,,,,,,41.5481,39.4168,45.8106
2023-07-26,49.66,50.18,49.54,50.15,49.77,0.38,0.7635,16115319.0,803410000.0,41.9677,,,,,,,,,51.7297,43.5211,68.147
2023-07-27,50.01,50.14,49.2,49.39,50.15,-0.76,-1.5155,16339062.0,812610000.0,44.7449,,,,,,,,,46.7346,44.5923,51.0191
2023-07-28,49.03,50.35,48.99,50.26,49.39,0.87,1.7615,18698054.0,933060000.0,40.5638,,,,,,,,,55.9382,48.3743,71.0662
2023-07-31,50.31,51.38,50.28,51.36,50.26,1.1,2.1886,25944137.0,1324880000.0,46.7033,,,,51.3354,49.7335,48.1316,49.7335,,70.363,55.7038,99.6814
2023-08-01,51.4,51.57,50.49,50.72,51.36,-0.64,-1.2461,18110314.0,921400000.0,53.2751,,,,51.1802,49.699,48.2178,49.699,,69.8635,60.4237,88.743
2023-08-02,50.87,51.12,50.66,50.83,50.72,0.11,0.2169,10813980.0,549980000.0,49.4543,,,,51.148,49.6915,48.235,49.6915,,70.8736,63.907,84.8067
2023-08-03,50.7,51.18,50.18,50.91,50.83,0.08,0.1574,12048176.0,613430000.0,50.1165,,,,51.2833,49.737,48.1907,49.737,,72.5238,66.7793,84.0128
2023-08-04,51.37,51.61,51.01,51.1,50.91,0.19,0.3732,17100810.0,875910000.0,50.6231,,,,51.4684,49.823,48.1776,49.823,,75.194,69.5842,86.4136
2023-08-07,51.12,51.18,49.06,49.26,51.1,-1.84,-3.6008,32403942.0,1610430000.0,51.8734,,,,51.4633,49.8,48.1367,49.8,,53.5644,64.2443,32.2048
2023-08-08,49.12,49.9,48.98,49.47,49.26,0.21,0.4263,16147977.0,796860000.0,41.0369,0.235368,0.047074,0.188294,51.4112,49.7585,48.1058,49.7585,,41.92,56.8028,12.1544
2023-08-09,49.3,49.59,48.46,48.64,49.47,-0.83,-1.6778,17961032.0,878530000.0,42.5129,0.099994,0.057658,0.042336,51.3843,49.7715,48.1587,49.7715,,29.8514,47.819,-6.0838
2023-08-10,48.66,49.0,48.34,48.47,48.64,-0.17,-0.3495,14184613.0,688660000.0,38.4192,-0.020768,0.041973,-0.062741,51.4289,49.735,48.0411,49.735,,21.2261,38.9547,-14.2311
2023-08-11,48.85,48.95,46.91,46.92,48.47,-1.55,-3.1979,31855553.0,1514520000.0,37.6202,-0.238792,-0.01418,-0.224612,51.6995,49.608,47.5165,49.608,,14.2217,30.7104,-18.7557
2023-08-14,46.58,47.36,46.3,47.34,46.92,0.42,0.8951,13585284.0,638640000.0,31.2404,-0.373384,-0.086021,-0.287363,51.8261,49.5365,47.2469,49.5365,,16.0097,25.8102,-3.5913
2023-08-15,47.47,47.75,46.91,47.52,47.34,0.18,0.3802,12926112.0,612790000.0,34.4827,-0.460219,-0.160861,-0.299358,51.8775,49.4275,46.9775,49.4275,,18.3316,23.3173,8.3603
2023-08-16,47.5,48.09,47.3,47.55,47.52,0.03,0.0631,13753666.0,656990000.0,35.8781,-0.520614,-0.232811,-0.287803,51.9295,49.3475,46.7655,49.3475,,20.0679,22.2342,15.7354
2023-08-17,47.3,48.25,46.71,48.15,47.55,0.6,1.2618,13423274.0,642150000.0,36.1223,-0.514136,-0.289076,-0.22506,51.9248,49.2905,46.6562,49.2905,,26.0152,23.4945,31.0566
2023-08-18,48.78,48.86,47.87,48.01,48.15,-0.14,-0.2908,14735792.0,712240000.0,40.9648,-0.51437,-0.334135,-0.180235,51.9319,49.241,46.5501,49.241,,33.1768,26.722,46.0865
2023-08-21,47.9,48.59,47.63,47.68,48.01,-0.33,-0.6874,11187804.0,539060000.0,40.199,-0.535016,-0.374311,-0.160705,51.9498,49.175,46.4002,49.175,,36.0996,29.8479,48.6032
2023-08-22,47.87,48.97,47.6,48.82,47.68,1.14,2.3909,20256083.0,980420000.0,38.3779,-0.454155,-0.39028,-0.063875,51.8924,49.1275,46.3626,49.1275,,55.1775,38.2911,88.9505
2023-08-23,48.54,48.99,47.76,47.89,48.82,-0.93,-1.905,15716714.0,764490000.0,47.2657,-0.459814,-0.404187,-0.055627,51.7877,49.0145,46.2413,49.0145,,56.4876,44.3566,80.7497
2023-08-24,48.13,48.94,47.78,48.62,47.89,0.73,1.5243,12840010.0,621820000.0,41.9501,-0.400774,-0.403504,0.00273,51.7487,48.976,46.2033,48.976,,66.4069,51.7067,95.8072
2023-08-25,48.4,48.64,47.69,48.3,48.62,-0.32,-0.6582,13674627.0,657420000.0,46.9896,-0.375478,-0.397899,0.022421,51.6003,48.878,46.1557,48.878,,67.5169,56.9767,88.5971
2023-08-28,50.72,50.98,48.52,48.55,48.3,0.25,0.5176,23909376.0,1184020000.0,45.1397,-0.331437,-0.384607,0.05317,51.2117,48.7375,46.2633,48.7375,,59.375,57.7762,62.5727
2023-08-29,48.61,51.0,48.61,51.0,48.55,2.45,5.0463,39593938.0,1990120000.0,46.8986,-0.097714,-0.327228,0.229514,51.2731,48.7515,46.2299,48.7515,,72.9167,62.823,93.104
2023-08-30,53.98,54.54,52.32,52.94,51.0,1.94,3.8039,71122489.0,3804530000.0,60.3238,0.241275,-0.213527,0.454802,51.8501,48.857,45.8639,48.857,,74.2595,66.6352,89.5082
2023-08-31,52.6,54.79,52.3,54.24,52.94,1.3,2.4556,56791773.0,3071450000.0,67.3606,0.607818,-0.049258,0.657076,52.7383,49.0235,45.3087,49.0235,,80.2899,71.1867,98.4961
2023-09-01,54.38,54.68,52.76,53.68,54.24,-0.56,-1.0324,37284250.0,1997030000.0,71.0641,0.843397,0.129273,0.714124,53.3007,49.1525,45.0043,49.1525,,81.7139,74.6958,95.75
2023-09-04,53.9,56.9,53.27,56.9,53.68,3.22,5.9985,55028087.0,3016680000.0,67.5105,1.275222,0.358463,0.916759,54.8849,49.5345,44.1841,49.5345,,87.8092,79.0669,105.2939
2023-09-05,57.36,58.66,55.15,55.63,56.9,-1.27,-2.232,85458434.0,4880850000.0,75.1922,1.497703,0.586311,0.911392,55.8155,49.8425,43.8695,49.8425,,82.6659,80.2666,87.4645
2023-09-06,55.16,57.4,54.81,56.83,55.63,1.2,2.1571,65536508.0,3677820000.0,68.3301,1.75067,0.819183,0.931487,56.9215,50.252,43.5825,50.252,,82.8833,81.1388,86.3723
2023-09-07,55.88,55.88,51.96,52.12,56.83,-4.71,-8.2879,84780882.0,4542000000.0,71.0212,1.553187,0.965983,0.587204,57.0987,50.4345,43.7703,50.4345,,67.0899,76.4558,48.3579
2023-09-08,52.06,53.24,51.41,52.5,52.12,0.38,0.7291,49369770.0,2586770000.0,52.2531,1.411077,1.055002,0.356075,57.2314,50.7135,44.1956,50.7135,,57.6287,70.1801,32.5259
2023-09-11,52.58,52.92,51.66,52.06,52.5,-0.44,-0.8381,38528076.0,2016490000.0,53.3248,1.248557,1.093713,0.154844,57.3014,50.9495,44.5976,50.9495,,41.4077,60.5893,3.0444
2023-09-12,52.0,52.2,51.5,51.52,52.06,-0.54,-1.0373,24008981.0,1242870000.0,51.8729,1.063921,1.087755,-0.023834,57.3058,51.1495,44.9932,51.1495,,28.1109,49.7632,-15.1938
2023-09-13,51.4,51.88,50.32,50.76,51.52,-0.76,-1.4752,30012906.0,1528680000.0,50.0712,0.846511,1.039506,-0.192995,57.246,51.31,45.374,51.31,,20.4992,40.0085,-18.5195
2023-09-14,50.71,51.58,50.51,50.77,50.76,0.01,0.0197,23106866.0,1177350000.0,47.567,0.667327,0.96507,-0.297743,57.2054,51.441,45.6766,51.441,,15.4647,31.8272,-17.2604
2023-09-15,50.93,52.63,50.61,51.7,50.77,0.93,1.8318,43980023.0,2280280000.0,47.6041,0.593524,0.890761,-0.297237,57.1709,51.6255,46.0801,51.6255,,15.8254,26.4933,-5.5104
2023-09-18,51.32,51.37,48.42,49.63,51.7,-2.07,-4.0039,47102093.0,2349630000.0,51.0743,0.363809,0.785371,-0.421562,57.0518,51.723,46.3942,51.723,,15.0417,22.6761,-0.227
2023-09-19,49.53,50.13,49.18,49.35,49.63,-0.28,-0.5642,21940677.0,1087750000.0,44.0769,0.157351,0.659767,-0.502416,57.0253,51.7495,46.4737,51.7495,,14.1833,19.8452,2.8596
2023-09-20,49.01,49.65,48.98,49.34,49.35,-0.01,-0.0203,12381874.0,611060000.0,43.2144,-0.006995,0.526414,-0.533409,56.9206,51.822,46.7234,51.822,,15.8179,18.5027,10.4483
2023-09-21,49.3,49.99,49.21,49.5,49.34,0.16,0.3243,15068020.0,748420000.0,43.1819,-0.122913,0.396549,-0.519462,56.8675,51.866,46.8645,51.866,,18.5453,18.5169,18.602
2023-09-22,49.6,51.38,49.41,51.2,49.5,1.7,3.4343,28218735.0,1425420000.0,43.9088,-0.076718,0.301895,-0.378613,56.752,52.011,47.27,52.011,,34.3746,23.8028,55.5182
2023-09-25,51.21,51.98,50.86,51.33,51.2,0.13,0.2539,21560707.0,1109450000.0,51.0705,-0.029281,0.23566,-0.264941,56.6329,52.15,47.6671,52.15,50.207,45.9568,31.1875,75.4954
2023-09-26,51.2,51.2,50.01,50.06,51.33,-1.27,-2.4742,18690221.0,941130000.0,51.5797,-0.093093,0.16991,-0.263003,56.6524,52.103,47.5536,52.103,50.1845,43.6228,35.3326,60.2033
2023-09-27,50.18,51.0,50.07,50.66,50.06,0.6,1.1986,15117637.0,765520000.0,46.4902,-0.094163,0.117095,-0.211258,56.563,51.989,47.415,51.989,50.1792,46.8174,39.1609,62.1305
2023-09-28,50.7,51.42,50.25,51.15,50.66,0.49,0.9672,17607565.0,896780000.0,49.0481,-0.05484,0.082708,-0.137548,56.3014,51.8345,47.3676,51.8345,50.1983,56.7734,45.0317,80.2568
2023-10-09,50.8,51.48,50.3,50.72,51.15,-0.43,-0.8407,15983708.0,812290000.0,51.1038,-0.057709,0.054625,-0.112334,56.0947,51.6865,47.2783,51.6865,50.2207,57.1823,49.0819,73.383
2023-10-10,50.73,51.65,50.73,50.83,50.72,0.11,0.2169,16726357.0,856740000.0,49.2269,-0.050524,0.033595,-0.084119,55.0944,51.383,47.6716,51.383,50.2392,58.6771,52.2803,71.4706
2023-10-11,50.9,54.29,50.5,54.2,50.83,3.37,6.6299,46100108.0,2419360000.0,49.7355,0.224513,0.071779,0.152734,54.737,51.3115,47.886,51.3115,50.3042,71.8608,58.8071,97.9682
2023-10-12,53.75,54.19,53.01,53.69,54.2,-0.51,-0.941,35858279.0,1920430000.0,62.221,0.396756,0.136774,0.259982,53.7383,51.1545,48.5707,51.1545,50.3927,77.1422,64.9188,101.5889
2023-10-13,53.17,55.88,53.06,54.56,53.69,0.87,1.6204,50016405.0,2741420000.0,59.8001,0.596584,0.228736,0.367848,54.2345,51.2765,48.3185,51.2765,50.482,77.2657,69.0345,93.7283
2023-10-16,54.3,55.1,53.05,53.1,54.56,-1.46,-2.676,23618774.0,1270860000.0,62.4819,0.629879,0.308965,0.320914,54.3251,51.3065,48.2879,51.3065,50.5427,69.0573,69.0421,69.0878
2023-10-17,53.1,56.34,52.7,54.4,53.1,1.3,2.4482,34767248.0,1896490000.0,55.7595,0.75249,0.39767,0.35482,54.7185,51.4235,48.1285,51.4235,50.6365,69.0579,69.0474,69.079
2023-10-18,55.84,56.73,54.48,54.57,54.4,0.17,0.3125,44297900.0,2456940000.0,59.8968,0.853538,0.488843,0.364695,55.1457,51.576,48.0063,51.576,50.7177,68.2608,68.7852,67.2121
2023-10-19,54.13,57.28,54.0,56.03,54.57,1.46,2.6755,75274144.0,4228380000.0,60.4181,1.039448,0.598964,0.440484,55.8767,51.8395,47.8023,51.8395,50.8323,72.8711,70.1472,78.319
2023-10-20,55.61,58.15,55.61,57.1,56.03,1.07,1.9097,70739609.0,4059010000.0,64.6662,1.258614,0.730894,0.52772,56.7608,52.156,47.5512,52.156,50.9625,77.3389,72.5444,86.9279
2023-10-23,56.88,57.74,55.5,56.79,57.1,-0.31,-0.5429,48307464.0,2737140000.0,67.4254,1.391253,0.862966,0.528287,57.4303,52.4105,47.3907,52.4105,51.0923,78.9667,74.6852,87.5297
2023-10-24,56.79,57.1,53.36,55.05,56.79,-1.74,-3.0639,48079955.0,2653840000.0,65.8217,1.340514,0.958476,0.382038,57.6566,52.6815,47.7064,52.6815,51.1932,67.0175,72.1293,56.794
2023-10-25,56.0,56.82,54.68,54.68,55.05,-0.37,-0.6721,32205924.0,1789420000.0,57.5479,1.255969,1.017974,0.237995,57.7487,52.948,48.1473,52.948,51.275,56.7885,67.0157,36.334
2023-10-26,54.2,55.6,54.1,54.89,54.68,0.21,0.3841,28074399.0,1540010000.0,55.9376,1.19217,1.052813,0.139357,57.796,53.2255,48.655,53.2255,51.354,51.2535,61.7616,30.2372
2023-10-27,54.58,57.5,54.4,56.98,54.89,2.09,3.8076,47162330.0,2663840000.0,56.6785,1.295322,1.101315,0.194007,58.1132,53.5995,49.0858,53.5995,51.4805,60.3463,61.2899,58.4593
2023-10-30,56.74,58.98,56.67,58.3,56.98,1.32,2.3166,50735385.0,2959090000.0,63.2937,1.466677,1.174388,0.292289,58.7646,53.9545,49.1444,53.9545,51.6145,69.531,64.0369,80.5192
2023-10-31,58.38,58.38,56.88,57.25,58.3,-1.05,-1.801,28025815.0,1609410000.0,66.7473,1.500454,1.239601,0.260853,59.1065,54.2505,49.3945,54.2505,51.7127,69.4264,65.8334,76.6123
2023-11-01,57.14,59.08,56.78,58.21,57.25,0.96,1.6769,36157565.0,2109090000.0,61.7688,1.5864,1.308961,0.277439,59.4056,54.658,49.9104,54.658,51.8375,74.5477,68.7381,86.1667
