trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,sma_20,sma_60,kdj_k,kdj_d,kdj_j
2023-07-04,20.6,21.25,20.45,20.8,,0,0,21689858.0,452782296.2,,,,,,,,,,,,
2023-07-05,20.8,21.05,20.2,20.25,20.8,-0.55,-2.6442,14523819.0,296928481.75,,,,,,,,,,,,
2023-07-06,20.05,20.4,19.8,19.88,20.25,-0.37,-1.8272,17305183.0,345799513.9,,,,,,,,,,,,
2023-07-07,19.88,19.94,19.5,19.7,19.88,-0.18,-0.9054,29212126.0,573266023.12,,,,,,,,,,,,
2023-07-10,19.9,20.0,19.52,19.64,19.7,-0.06,-0.3046,17471259.0,345563845.62,,,,,,,,,,,,
2023-07-11,19.76,20.15,19.64,19.8,19.64,0.16,0.8147,22252608.0,442967250.64,,,,,,,,,,,,
2023-07-12,19.98,20.0,19.46,19.6,19.8,-0.2,-1.0101,20044860.0,394488173.42,,,,,,,,,,,,
2023-07-13,19.92,20.1,19.7,19.86,19.6,0.26,1.3265,24995023.0,497537352.02,,,,,,,,,,,,
2023-07-14,20.0,20.4,19.96,20.15,19.86,0.29,1.4602,40792090.0,825403656.5,,,,,,,,,,46.1825,48.7275,41.0925
2023-07-18,19.86,20.4,19.46,19.62,20.15,-0.53,-2.6303,40197053.0,794849895.48,,,,,,,,,,34.1426,43.8659,14.6961
2023-07-19,19.46,19.56,19.28,19.38,19.62,-0.24,-1.2232,17870108.0,346310904.56,,,,,,,,,,25.7379,37.8232,1.5674
2023-07-20,19.44,19.64,19.26,19.26,19.38,-0.12,-0.6192,13400925.0,260223248.5,,,,,,,,,,17.1586,30.935,-10.3942
2023-07-21,19.3,19.36,18.86,19.02,19.26,-0.24,-1.2461,19988886.0,381045118.56,,,,,,,,,,14.9023,25.5908,-6.4747
2023-07-24,19.0,19.0,18.22,18.48,19.02,-0.54,-2.8391,32816216.0,608717377.42,,,,,,,,,,13.9104,21.6973,-1.6635
2023-07-25,18.88,19.04,18.64,18.92,18.48,0.44,2.381,31775469.0,600073580.28,27.512,,,,,,,,,19.977,21.1239,17.6831
2023-07-26,18.9,19.2,18.78,18.92,18.92,0.0,0.0,17458581.0,331256725.0,34.8926,,,,,,,,,24.0213,22.0897,27.8846
